Client,Products,Target
Gina    ,Vine Iogurt Salt,positive
Chloe   ,Sweet Sugar Pepper,negative
Gina    ,Cigar Beer Cheese,positive
Sophy   ,Vine Beer Bananas,negative
Gina    ,Salt Fries Sugar,negative
Ann     ,Bread Bananas Vodka,negative
Gina    ,Sweet Iogurt Pepper,positive
Gina    ,Bread Pepper Cheese,positive
Dorophy ,Kefir Milk Water,positive
Sophy   ,Vine Cheese Vodka,positive
Gina    ,Vine Salo Cheese,positive
Hilary  ,Vine Iogurt Bananas,positive
Alla    ,Onion Vine Iogurt,positive
Filona  ,Iogurt Vodka Cream,positive
Filona  ,Sweet Cigar Beer,negative
Hilary  ,Pepper Abritos Vine,negative
Hilary  ,Beer Kefir Onion,positive
Ann     ,Water Beer Salt,negative
Ira     ,Kefir Abritos Water,positive
Chloe   ,Kefir Cream Bread,positive
Hilary  ,Cheese Eris Cigar,positive
Sophy   ,Vodka Beer Bread,negative
Dorophy ,Vodka Vine Pepper,negative
Gina    ,Bananas Eris Vine,negative
Ira     ,Bread Sweet Vine,negative
Hilary  ,Cream Pepper Cheese,positive
Dorophy ,Salo Iogurt Vodka,positive
Sophy   ,Salo Kefir Pepper,positive
Sophy   ,Cigar Cheese Kefir,positive
Dorophy ,Beer Kefir Vine,positive
Emma    ,Abritos Vodka Salt,negative
Dorophy ,Vodka Onion Cheese,positive
Hilary  ,Cheese Bananas Vine,positive
Dorophy ,Bananas Vodka Pepper,negative
Gina    ,Water Sweet Salt,negative
Dorophy ,Cigar Cream Beer,positive
Alla    ,Salo Cheese Eris,positive
Ira     ,Onion Salo Sugar,negative
Ann     ,Pepper Salt Abritos,negative
Emma    ,Pepper Eris Milk,positive
Ira     ,Water Sweet Kefir,positive
Filona  ,Cheese Fries Eris,positive
Sophy   ,Pepper Sugar Eris,negative
Ann     ,Sweet Abritos Cream,positive
Ann     ,Cream Beer Eris,positive
Alla    ,Cream Salt Iogurt,positive
Ann     ,Onion Vine Cream,positive
Alla    ,Milk Sugar Sweet,positive
Ira     ,Bananas Kefir Onion,positive
Gina    ,Milk Vodka Kefir,positive
Ann     ,Onion Fries Salo,negative
Ira     ,Salt Onion Cream,positive
Alla    ,Vine Salo Pepper,negative
Emma    ,Bread Onion Salt,negative
Emma    ,Onion Iogurt Bananas,positive
Alla    ,Salo Abritos Iogurt,positive
Filona  ,Iogurt Vine Onion,positive
Ira     ,Eris Water Beer,negative
Filona  ,Milk Pepper Salt,positive
Filona  ,Cheese Cigar Beer,positive
Hilary  ,Iogurt Cheese Cream,positive
Ira     ,Salt Bananas Salo,negative
Emma    ,Bananas Fries Abritos,negative
Gina    ,Cheese Iogurt Salo,positive
Alla    ,Water Eris Abritos,negative
Chloe   ,Vodka Beer Abritos,negative
Sophy   ,Cheese Onion Eris,positive
Hilary  ,Cream Vodka Fries,positive
Dorophy ,Beer Cream Onion,positive
Sophy   ,Cream Sugar Bread,positive
Alla    ,Milk Eris Pepper,positive
Filona  ,Pepper Eris Water,negative
Hilary  ,Fries Salo Beer,negative
Dorophy ,Abritos Salt Beer,negative
Sophy   ,Cheese Vine Milk,positive
Sophy   ,Bananas Sugar Abritos,negative
Ann     ,Bananas Kefir Onion,positive
Emma    ,Vodka Salo Cigar,negative
Sophy   ,Water Cigar Vine,negative
Alla    ,Sweet Salo Pepper,negative
Ann     ,Beer Bread Salt,negative
Dorophy ,Beer Water Milk,positive
Filona  ,Water Cigar Cheese,positive
Hilary  ,Cheese Bread Vine,positive
Filona  ,Pepper Fries Eris,negative
Ira     ,Onion Iogurt Eris,positive
Hilary  ,Salo Fries Water,negative
Emma    ,Sweet Water Eris,negative
Hilary  ,Kefir Cream Pepper,positive
Gina    ,Cream Salo Onion,positive
Sophy   ,Fries Water Pepper,negative
Dorophy ,Bananas Onion Sugar,negative
Chloe   ,Cigar Vodka Salo,negative
Dorophy ,Cream Beer Cigar,positive
Ira     ,Beer Iogurt Fries,positive
Sophy   ,Cream Sugar Kefir,positive
Sophy   ,Onion Eris Vodka,negative
Chloe   ,Beer Salt Eris,negative
Ira     ,Cheese Salo Vine,positive
Sophy   ,Milk Salt Salo,positive
Chloe   ,Sweet Fries Cream,positive
Ann     ,Fries Salo Bananas,negative
Sophy   ,Abritos Milk Salo,positive
Emma    ,Milk Beer Eris,positive
Dorophy ,Vine Cigar Iogurt,positive
Hilary  ,Salt Water Vine,negative
Sophy   ,Water Abritos Pepper,negative
Chloe   ,Abritos Cheese Bread,positive
Ann     ,Beer Cheese Bread,positive
Emma    ,Bread Eris Sugar,negative
Chloe   ,Vine Pepper Salt,negative
Chloe   ,Kefir Water Pepper,positive
Emma    ,Water Sweet Abritos,negative
Filona  ,Cream Pepper Salo,positive
Alla    ,Vodka Abritos Cheese,positive
Hilary  ,Bread Water Salo,negative
Hilary  ,Onion Sweet Pepper,negative
Dorophy ,Fries Salt Abritos,negative
Ira     ,Vine Vodka Cheese,positive
Emma    ,Vine Salt Abritos,negative
Ann     ,Vine Cream Eris,positive
Dorophy ,Cream Fries Pepper,positive
Alla    ,Sugar Fries Water,negative
Filona  ,Sweet Kefir Vine,positive
Dorophy ,Cigar Sugar Kefir,positive
Hilary  ,Cream Bananas Onion,positive
Chloe   ,Kefir Vodka Salo,positive
Dorophy ,Vodka Fries Beer,negative
Gina    ,Vine Cigar Eris,negative
Hilary  ,Fries Iogurt Kefir,positive
Ann     ,Eris Iogurt Beer,positive
Ann     ,Pepper Sweet Bread,negative
Filona  ,Bananas Cheese Milk,positive
Hilary  ,Vine Fries Cigar,negative
Hilary  ,Sugar Pepper Vodka,negative
Chloe   ,Salt Iogurt Bread,positive
Ann     ,Sugar Sweet Vodka,negative
Hilary  ,Sugar Onion Vine,negative
Ann     ,Bananas Onion Vine,negative
Alla    ,Eris Pepper Fries,negative
Gina    ,Onion Abritos Water,negative
Ira     ,Vodka Milk Salt,positive
Ann     ,Salo Onion Pepper,negative
Alla    ,Bread Salo Bananas,negative
Alla    ,Iogurt Salt Cream,positive
Dorophy ,Eris Sweet Sugar,negative
Filona  ,Abritos Onion Sweet,negative
Emma    ,Beer Vine Cream,positive
Filona  ,Water Cheese Bread,positive
Sophy   ,Beer Water Cheese,positive
Filona  ,Water Bananas Iogurt,positive
Sophy   ,Beer Pepper Cream,positive
Gina    ,Vine Sugar Pepper,negative
Dorophy ,Fries Salo Water,negative
Hilary  ,Onion Cream Iogurt,positive
Ira     ,Iogurt Eris Onion,positive
Ann     ,Cream Sugar Salo,positive
Ira     ,Sweet Fries Cream,positive
Sophy   ,Onion Sweet Vine,negative
Ann     ,Fries Bananas Vine,negative
Hilary  ,Sugar Abritos Salt,negative
Filona  ,Bread Iogurt Sugar,positive
Alla    ,Eris Sweet Pepper,negative
Dorophy ,Sugar Pepper Water,negative
Hilary  ,Milk Vine Abritos,positive
Gina    ,Abritos Water Pepper,negative
Sophy   ,Cream Eris Abritos,positive
Alla    ,Abritos Kefir Bread,positive
Alla    ,Onion Salt Kefir,positive
Hilary  ,Cigar Pepper Fries,negative
Alla    ,Pepper Fries Bananas,negative
Dorophy ,Sugar Onion Iogurt,positive
Chloe   ,Salt Beer Water,negative
Ann     ,Milk Sugar Bread,positive
Dorophy ,Cigar Salt Vine,negative
Gina    ,Vodka Onion Sugar,negative
Chloe   ,Kefir Iogurt Abritos,positive
Ann     ,Fries Bananas Cigar,negative
Chloe   ,Cigar Bread Sugar,negative
Chloe   ,Vodka Iogurt Vine,positive
Chloe   ,Water Beer Vodka,negative
Ann     ,Abritos Kefir Bread,positive
Chloe   ,Water Beer Vine,negative
Alla    ,Onion Salt Bananas,negative
Ira     ,Vine Pepper Sweet,negative
Alla    ,Fries Bread Sugar,negative
Emma    ,Onion Sugar Cream,positive
Ira     ,Sugar Cream Kefir,positive
Hilary  ,Cigar Bananas Kefir,positive
Ann     ,Eris Milk Sweet,positive
Dorophy ,Pepper Abritos Cheese,positive
Gina    ,Salt Water Sugar,negative
Hilary  ,Pepper Bread Beer,negative
Hilary  ,Vine Abritos Iogurt,positive
Alla    ,Vodka Water Milk,positive
Sophy   ,Kefir Sweet Cream,positive
Dorophy ,Cigar Bananas Water,negative
Hilary  ,Abritos Vine Vodka,negative
Hilary  ,Eris Water Bread,negative
Dorophy ,Sweet Bread Salo,negative
Gina    ,Sugar Onion Eris,negative
Gina    ,Abritos Iogurt Bread,positive
Emma    ,Bread Milk Eris,positive
Ira     ,Water Pepper Bananas,negative
Filona  ,Sugar Salt Bananas,negative
Emma    ,Beer Bread Onion,negative
Filona  ,Cream Onion Bread,positive
Emma    ,Onion Fries Iogurt,positive
Sophy   ,Cream Vodka Abritos,positive
Ira     ,Bread Cheese Cigar,positive
Gina    ,Onion Cigar Vine,negative
Dorophy ,Sugar Beer Eris,negative
Filona  ,Vodka Eris Cheese,positive
Ira     ,Kefir Vine Sweet,positive
Chloe   ,Milk Cigar Salt,positive
Hilary  ,Water Cheese Bread,positive
Chloe   ,Salt Fries Milk,positive
Gina    ,Cigar Salt Onion,negative
Emma    ,Vine Water Salo,negative
Ira     ,Iogurt Cheese Water,positive
Sophy   ,Onion Vine Pepper,negative
Dorophy ,Pepper Bananas Beer,negative
Ann     ,Kefir Salt Iogurt,positive
Alla    ,Water Abritos Sugar,negative
Gina    ,Bread Water Sugar,negative
Alla    ,Beer Vine Bananas,negative
Sophy   ,Sweet Beer Sugar,negative
Filona  ,Iogurt Fries Bread,positive
Ira     ,Cheese Cream Vine,positive
Hilary  ,Cream Sweet Beer,positive
Filona  ,Fries Beer Vodka,negative
Dorophy ,Abritos Iogurt Eris,positive
Sophy   ,Iogurt Salt Beer,positive
Ira     ,Bread Iogurt Milk,positive
Hilary  ,Cream Beer Vine,positive
Chloe   ,Milk Cream Onion,positive
Filona  ,Pepper Sweet Fries,negative
Emma    ,Onion Cheese Vodka,positive
Ira     ,Milk Sweet Vine,positive
Ann     ,Kefir Sweet Bananas,positive
Ann     ,Pepper Iogurt Water,positive
Sophy   ,Salt Cheese Iogurt,positive
Gina    ,Cheese Milk Vodka,positive
Filona  ,Pepper Sugar Bananas,negative
Emma    ,Milk Fries Abritos,positive
Filona  ,Kefir Iogurt Bananas,positive
Gina    ,Sugar Cream Pepper,positive
Sophy   ,Bread Fries Water,negative
Ann     ,Salo Pepper Bananas,negative
Ira     ,Eris Milk Vodka,positive
Gina    ,Cheese Cigar Beer,positive
Dorophy ,Iogurt Vodka Beer,positive
Ira     ,Salt Vodka Bread,negative
Alla    ,Sweet Abritos Pepper,negative
Emma    ,Iogurt Bread Sugar,positive
Hilary  ,Cream Iogurt Sugar,positive
Hilary  ,Cheese Iogurt Kefir,positive
Alla    ,Pepper Cheese Onion,positive
Chloe   ,Iogurt Cream Sweet,positive
Sophy   ,Sugar Bananas Bread,negative
Alla    ,Vodka Eris Sweet,negative
Sophy   ,Sugar Iogurt Vodka,positive
Hilary  ,Abritos Beer Vine,negative
Emma    ,Water Fries Beer,negative
Chloe   ,Cream Beer Vine,positive
Ann     ,Salt Sugar Fries,negative
Filona  ,Milk Salo Cream,positive
Alla    ,Onion Pepper Bananas,negative
Alla    ,Milk Iogurt Water,positive
Filona  ,Water Cream Pepper,positive
Gina    ,Beer Kefir Vine,positive
Filona  ,Cigar Vodka Eris,negative
Ann     ,Eris Kefir Salt,positive
Hilary  ,Eris Fries Cigar,negative
Ira     ,Onion Vodka Salt,negative
Alla    ,Sugar Pepper Vodka,negative
Hilary  ,Bananas Iogurt Pepper,positive
Gina    ,Cream Milk Water,positive
Ira     ,Bananas Iogurt Onion,positive
Alla    ,Eris Salo Abritos,negative
Alla    ,Salt Water Beer,negative
Sophy   ,Sugar Eris Abritos,negative
Ira     ,Salt Abritos Beer,negative
Dorophy ,Vine Eris Abritos,negative
Alla    ,Cigar Cheese Beer,positive
Ira     ,Cream Sugar Water,positive
Alla    ,Salt Cigar Water,negative
Gina    ,Eris Fries Vodka,negative
Emma    ,Kefir Vine Pepper,positive
Chloe   ,Abritos Kefir Salt,positive
Chloe   ,Salt Cigar Vodka,negative
Dorophy ,Abritos Pepper Sweet,negative
Ann     ,Vodka Eris Salt,negative
Ann     ,Beer Water Milk,positive
Gina    ,Eris Vine Milk,positive
Ira     ,Eris Cream Onion,positive
Gina    ,Bananas Onion Salt,negative
Filona  ,Sugar Cheese Sweet,positive
Alla    ,Fries Cheese Water,positive
Chloe   ,Kefir Cheese Cigar,positive
Alla    ,Sweet Bananas Salt,negative
Emma    ,Water Vine Cheese,positive
Ira     ,Abritos Cigar Vine,negative
Emma    ,Water Onion Cheese,positive
Filona  ,Pepper Vodka Kefir,positive
Alla    ,Bread Kefir Salt,positive
Hilary  ,Pepper Vodka Vine,negative
Emma    ,Milk Vodka Cheese,positive
Ira     ,Onion Salt Sweet,negative
Alla    ,Sweet Cigar Iogurt,positive
Ira     ,Bread Onion Vodka,negative
Sophy   ,Abritos Sweet Milk,positive
Sophy   ,Vodka Sweet Beer,negative
Gina    ,Water Sweet Salt,negative
Alla    ,Milk Bananas Cigar,positive
Ann     ,Onion Water Cigar,negative
Gina    ,Eris Iogurt Milk,positive
Dorophy ,Beer Onion Pepper,negative
Filona  ,Bread Cigar Sugar,negative
Sophy   ,Kefir Iogurt Vodka,positive
Chloe   ,Vine Vodka Salt,negative
Ira     ,Fries Water Vine,negative
Dorophy ,Vodka Sugar Bananas,negative
Ira     ,Sweet Beer Pepper,negative
Chloe   ,Onion Pepper Iogurt,positive
Alla    ,Cream Sugar Vodka,positive
Gina    ,Iogurt Sweet Sugar,positive
Gina    ,Abritos Milk Pepper,positive
Emma    ,Vine Cream Abritos,positive
Emma    ,Bread Beer Fries,negative
Ira     ,Pepper Salo Milk,positive
Emma    ,Bananas Abritos Salt,negative
Alla    ,Sweet Cheese Cream,positive
Gina    ,Pepper Water Salo,negative
Gina    ,Vine Cheese Water,positive
Ann     ,Onion Vodka Pepper,negative
Alla    ,Fries Iogurt Bread,positive
Gina    ,Salo Cheese Beer,positive
Dorophy ,Cheese Salt Abritos,positive
Dorophy ,Fries Bananas Milk,positive
Dorophy ,Sugar Bread Milk,positive
Alla    ,Eris Bread Kefir,positive
Dorophy ,Milk Onion Eris,positive
Dorophy ,Salt Sweet Bananas,negative
Emma    ,Bananas Sugar Cheese,positive
Sophy   ,Cheese Eris Onion,positive
Hilary  ,Bread Salo Sugar,negative
Ann     ,Pepper Salo Vodka,negative
Hilary  ,Eris Cream Beer,positive
Sophy   ,Cigar Sweet Onion,negative
Ann     ,Cigar Sweet Salo,negative
Hilary  ,Pepper Bread Sweet,negative
Hilary  ,Cigar Abritos Kefir,positive
Chloe   ,Beer Salt Water,negative
Alla    ,Iogurt Cream Kefir,positive
Alla    ,Pepper Bananas Cigar,negative
Emma    ,Vine Onion Cream,positive
Sophy   ,Fries Salo Salt,negative
Emma    ,Onion Bananas Pepper,negative
Emma    ,Fries Vine Pepper,negative
Emma    ,Milk Onion Eris,positive
Chloe   ,Cigar Cream Eris,positive
Chloe   ,Milk Eris Fries,positive
Filona  ,Cigar Sugar Salt,negative
Chloe   ,Sweet Iogurt Bananas,positive
Alla    ,Onion Cheese Water,positive
Hilary  ,Cigar Bread Salt,negative
Alla    ,Bread Onion Iogurt,positive
Alla    ,Milk Eris Bananas,positive
Dorophy ,Salo Cigar Onion,negative
Alla    ,Salo Pepper Vodka,negative
Ann     ,Eris Cream Cigar,positive
Emma    ,Water Milk Vodka,positive
Alla    ,Fries Cigar Water,negative
Filona  ,Fries Iogurt Abritos,positive
Dorophy ,Cheese Water Salt,positive
Ira     ,Fries Sugar Abritos,negative
Gina    ,Bread Sweet Fries,negative
Alla    ,Sugar Vodka Water,negative
Ann     ,Kefir Bananas Cigar,positive
Sophy   ,Cheese Vodka Beer,positive
Chloe   ,Salo Water Cheese,positive
Ann     ,Vine Sugar Kefir,positive
Sophy   ,Onion Pepper Water,negative
Chloe   ,Onion Sugar Bread,negative
Ira     ,Bread Salo Sugar,negative
Emma    ,Iogurt Pepper Bread,positive
Sophy   ,Beer Onion Milk,positive
Alla    ,Eris Kefir Pepper,positive
Ann     ,Kefir Vine Milk,positive
Emma    ,Salt Cigar Cream,positive
Filona  ,Salo Sugar Cheese,positive
Filona  ,Bread Sweet Cheese,positive
Emma    ,Eris Iogurt Milk,positive
Sophy   ,Pepper Vodka Milk,positive
Sophy   ,Water Iogurt Cigar,positive
Sophy   ,Salo Salt Onion,negative
Dorophy ,Kefir Water Abritos,positive
Filona  ,Kefir Pepper Cheese,positive
Alla    ,Water Abritos Iogurt,positive
Hilary  ,Kefir Sugar Bread,positive
Dorophy ,Sweet Bread Bananas,negative
Ann     ,Bread Beer Water,negative
Ann     ,Eris Water Abritos,negative
Emma    ,Beer Salo Milk,positive
Ann     ,Cigar Iogurt Water,positive
Ira     ,Iogurt Kefir Bread,positive
Ann     ,Pepper Bananas Sugar,negative
Gina    ,Cigar Eris Milk,positive
Chloe   ,Beer Kefir Bread,positive
Hilary  ,Water Sugar Salt,negative
Ann     ,Vine Milk Pepper,positive
Emma    ,Vine Milk Onion,positive
Alla    ,Fries Beer Bananas,negative
Ira     ,Vodka Cigar Vine,negative
Ira     ,Fries Sugar Kefir,positive
Gina    ,Iogurt Salo Sweet,positive
Gina    ,Vodka Cheese Water,positive
Alla    ,Cigar Beer Kefir,positive
Sophy   ,Onion Vodka Eris,negative
Hilary  ,Sweet Bananas Fries,negative
Dorophy ,Salt Sugar Beer,negative
Filona  ,Fries Salt Bananas,negative
Chloe   ,Iogurt Onion Cheese,positive
Filona  ,Onion Bananas Sweet,negative
Sophy   ,Salt Vodka Bread,negative
Ira     ,Sugar Cream Bread,positive
Sophy   ,Abritos Salo Kefir,positive
Gina    ,Cream Bananas Iogurt,positive
Emma    ,Water Eris Vine,negative
Emma    ,Bananas Eris Sweet,negative
Alla    ,Salt Cheese Bananas,positive
Dorophy ,Milk Kefir Sweet,positive
Dorophy ,Bananas Beer Iogurt,positive
Alla    ,Abritos Kefir Beer,positive
Ira     ,Milk Fries Eris,positive
Gina    ,Milk Cream Vine,positive
Chloe   ,Pepper Beer Eris,negative
Hilary  ,Vine Iogurt Sugar,positive
Ira     ,Sugar Beer Bread,negative
Filona  ,Water Milk Fries,positive
Ira     ,Cigar Beer Water,negative
Filona  ,Cream Cigar Cheese,positive
Ann     ,Iogurt Sweet Salt,positive
Filona  ,Sugar Fries Vodka,negative
Gina    ,Eris Fries Onion,negative
Emma    ,Water Cigar Sweet,negative
Hilary  ,Cheese Sweet Cigar,positive
Dorophy ,Cheese Onion Bananas,positive
Filona  ,Abritos Bananas Sugar,negative
Emma    ,Kefir Cheese Salo,positive
Gina    ,Cigar Cheese Eris,positive
Ira     ,Onion Abritos Cigar,negative
Dorophy ,Salo Cheese Vine,positive
Hilary  ,Cheese Pepper Fries,positive
Ira     ,Pepper Vine Abritos,negative
Emma    ,Beer Milk Iogurt,positive
Chloe   ,Salt Sweet Cream,positive
Gina    ,Water Vine Onion,negative
Ann     ,Beer Onion Eris,negative
Alla    ,Water Bread Cigar,negative
Alla    ,Sweet Vodka Kefir,positive
Gina    ,Vine Cream Pepper,positive
Emma    ,Bread Onion Abritos,negative
Alla    ,Fries Beer Sugar,negative
Alla    ,Onion Water Abritos,negative
Ann     ,Milk Bananas Pepper,positive
Ira     ,Cigar Pepper Eris,negative
Chloe   ,Pepper Cigar Cream,positive
Sophy   ,Salo Abritos Pepper,negative
Emma    ,Cream Milk Kefir,positive
Ann     ,Beer Cream Sugar,positive
Filona  ,Fries Cheese Salo,positive
Chloe   ,Eris Pepper Iogurt,positive
Ann     ,Water Vodka Kefir,positive
Ira     ,Cheese Abritos Vodka,positive
Alla    ,Abritos Milk Onion,positive
Ira     ,Abritos Milk Vine,positive
Sophy   ,Cigar Vine Pepper,negative
Chloe   ,Sugar Bananas Abritos,negative
Ann     ,Kefir Iogurt Salo,positive
Chloe   ,Kefir Beer Bananas,positive
Emma    ,Milk Salt Bananas,positive
Alla    ,Sweet Cheese Vine,positive
Ann     ,Onion Pepper Kefir,positive
Gina    ,Sugar Eris Sweet,negative
Dorophy ,Cream Salo Eris,positive
Sophy   ,Onion Milk Kefir,positive
Ira     ,Bread Salt Water,negative
Hilary  ,Fries Sugar Abritos,negative
Chloe   ,Bananas Vine Vodka,negative
Alla    ,Vodka Cream Vine,positive
Alla    ,Fries Iogurt Milk,positive
Filona  ,Onion Sweet Sugar,negative
Sophy   ,Vine Bread Salt,negative
Emma    ,Bread Vine Iogurt,positive
Alla    ,Kefir Abritos Eris,positive
Alla    ,Kefir Bananas Sweet,positive
Alla    ,Salo Vodka Cheese,positive
Gina    ,Salt Pepper Fries,negative
Ann     ,Cigar Bread Onion,negative
Filona  ,Milk Bananas Water,positive
Ann     ,Cigar Sweet Pepper,negative
Alla    ,Salo Kefir Salt,positive
Alla    ,Vine Eris Fries,negative
Ann     ,Iogurt Milk Vodka,positive
Hilary  ,Vine Cigar Beer,negative
Chloe   ,Abritos Fries Kefir,positive
Ira     ,Sugar Abritos Pepper,negative
Filona  ,Milk Pepper Sweet,positive
Chloe   ,Pepper Beer Eris,negative
Gina    ,Fries Pepper Abritos,negative
Chloe   ,Pepper Sweet Vine,negative
Hilary  ,Vodka Bananas Sweet,negative
Gina    ,Vodka Fries Eris,negative
Dorophy ,Salt Abritos Vodka,negative
Hilary  ,Cigar Beer Water,negative
Ira     ,Pepper Cigar Kefir,positive
Emma    ,Abritos Pepper Sweet,negative
Chloe   ,Vine Salt Cheese,positive
Chloe   ,Vodka Cream Pepper,positive
Emma    ,Beer Sugar Bread,negative
Ira     ,Salo Sweet Sugar,negative
Gina    ,Sweet Salo Milk,positive
Filona  ,Bread Kefir Vine,positive
Emma    ,Eris Beer Bananas,negative
Alla    ,Sugar Abritos Salo,negative
Chloe   ,Salt Cheese Onion,positive
Chloe   ,Sweet Sugar Iogurt,positive
Filona  ,Bananas Vodka Abritos,negative
Emma    ,Salo Salt Bread,negative
Alla    ,Sugar Onion Pepper,negative
Dorophy ,Pepper Abritos Salt,negative
Ann     ,Abritos Milk Salo,positive
Chloe   ,Iogurt Kefir Bananas,positive
Hilary  ,Bananas Sweet Cream,positive
Dorophy ,Abritos Sweet Pepper,negative
Ann     ,Salt Bananas Fries,negative
Emma    ,Beer Abritos Salt,negative
Filona  ,Beer Cigar Vine,negative
Dorophy ,Salt Beer Cheese,positive
Ira     ,Onion Water Abritos,negative
Gina    ,Abritos Iogurt Onion,positive
Sophy   ,Cream Onion Salo,positive
Emma    ,Fries Beer Kefir,positive
Chloe   ,Onion Fries Bananas,negative
Alla    ,Bread Onion Cheese,positive
Emma    ,Iogurt Milk Beer,positive
Ira     ,Salt Fries Sweet,negative
Filona  ,Iogurt Eris Bread,positive
Chloe   ,Salo Kefir Cigar,positive
Ira     ,Beer Water Bread,negative
Ira     ,Vine Vodka Bread,negative
Filona  ,Eris Salo Bread,negative
Emma    ,Salo Eris Water,negative
Alla    ,Eris Sweet Bread,negative
Sophy   ,Vodka Bananas Sugar,negative
Alla    ,Beer Salt Abritos,negative
Ira     ,Bread Eris Vine,negative
Chloe   ,Onion Pepper Vodka,negative
Ira     ,Milk Vine Bananas,positive
Emma    ,Water Cigar Sugar,negative
Filona  ,Vine Vodka Sugar,negative
Emma    ,Abritos Eris Pepper,negative
Filona  ,Kefir Iogurt Cheese,positive
Chloe   ,Milk Cigar Abritos,positive
Alla    ,Sugar Milk Cigar,positive
Dorophy ,Salo Cigar Iogurt,positive
Hilary  ,Vine Sweet Kefir,positive
Sophy   ,Salo Iogurt Cigar,positive
Ann     ,Salo Bread Pepper,negative
Sophy   ,Cigar Beer Vodka,negative
Sophy   ,Sugar Onion Cigar,negative
Alla    ,Salt Beer Cheese,positive
Ira     ,Salt Cigar Iogurt,positive
Dorophy ,Sugar Sweet Abritos,negative
Alla    ,Bread Vodka Bananas,negative
Dorophy ,Beer Vine Sugar,negative
Chloe   ,Iogurt Sweet Cream,positive
Ann     ,Cheese Fries Kefir,positive
Hilary  ,Bananas Bread Cream,positive
Emma    ,Bananas Kefir Beer,positive
Filona  ,Cigar Iogurt Kefir,positive
Filona  ,Sugar Eris Vodka,negative
Ann     ,Iogurt Cream Vine,positive
Hilary  ,Milk Cheese Bananas,positive
Sophy   ,Pepper Bread Fries,negative
Gina    ,Kefir Vodka Pepper,positive
Filona  ,Vine Kefir Salt,positive
Hilary  ,Pepper Salo Cheese,positive
Sophy   ,Milk Salt Fries,positive
Gina    ,Cigar Sugar Salo,negative
Sophy   ,Cigar Iogurt Vodka,positive
Chloe   ,Abritos Milk Eris,positive
Gina    ,Salt Bread Iogurt,positive
Dorophy ,Salo Water Milk,positive
Emma    ,Vodka Cheese Beer,positive
Hilary  ,Kefir Pepper Onion,positive
Hilary  ,Pepper Salo Cigar,negative
Ann     ,Fries Vodka Salo,negative
Hilary  ,Sweet Vodka Fries,negative
Chloe   ,Beer Iogurt Abritos,positive
Hilary  ,Abritos Vine Cigar,negative
Emma    ,Vine Water Kefir,positive
Filona  ,Beer Vodka Fries,negative
Filona  ,Sweet Cigar Onion,negative
Emma    ,Kefir Water Abritos,positive
Gina    ,Fries Vine Iogurt,positive
Chloe   ,Vine Eris Cheese,positive
Filona  ,Sugar Water Milk,positive
Filona  ,Sugar Cream Iogurt,positive
Gina    ,Fries Cigar Cream,positive
Hilary  ,Salt Cigar Abritos,negative
Sophy   ,Water Sweet Kefir,positive
Gina    ,Salt Pepper Water,negative
Emma    ,Onion Fries Vine,negative
Chloe   ,Salo Eris Bananas,negative
Gina    ,Water Beer Sugar,negative
Alla    ,Onion Cream Pepper,positive
Dorophy ,Eris Beer Milk,positive
Chloe   ,Sugar Salo Cigar,negative
Ann     ,Bananas Vodka Eris,negative
Chloe   ,Pepper Sweet Bread,negative
Dorophy ,Sugar Cream Eris,positive
Ira     ,Vine Sweet Iogurt,positive
Dorophy ,Kefir Pepper Sugar,positive
Dorophy ,Pepper Sugar Abritos,negative
Emma    ,Onion Milk Sweet,positive
Emma    ,Water Fries Abritos,negative
Chloe   ,Bread Vodka Vine,negative
Ann     ,Bread Sweet Salt,negative
Ann     ,Beer Sugar Cigar,negative
Dorophy ,Water Iogurt Beer,positive
Ann     ,Sugar Fries Sweet,negative
Filona  ,Vine Abritos Salt,negative
Gina    ,Beer Cheese Cigar,positive
Gina    ,Milk Onion Bread,positive
Hilary  ,Bananas Milk Sugar,positive
Gina    ,Abritos Water Eris,negative
Filona  ,Bananas Onion Cheese,positive
Gina    ,Eris Sugar Iogurt,positive
Gina    ,Cigar Cream Kefir,positive
Alla    ,Sugar Beer Salo,negative
Ann     ,Beer Cigar Salt,negative
Hilary  ,Salo Fries Kefir,positive
Filona  ,Cream Iogurt Eris,positive
Emma    ,Sugar Salo Sweet,negative
Ira     ,Salo Water Bananas,negative
Ira     ,Iogurt Bananas Salo,positive
Ann     ,Fries Sugar Pepper,negative
Chloe   ,Vodka Salo Milk,positive
Ann     ,Iogurt Fries Cheese,positive
Emma    ,Eris Bananas Fries,negative
Ann     ,Cheese Fries Milk,positive
Dorophy ,Vodka Sugar Water,negative
Filona  ,Milk Kefir Abritos,positive
Sophy   ,Sugar Water Onion,negative
Chloe   ,Eris Vodka Vine,negative
Emma    ,Bread Abritos Water,negative
Hilary  ,Salt Bananas Onion,negative
Emma    ,Salt Onion Sugar,negative
Alla    ,Vine Abritos Eris,negative
Emma    ,Vodka Sweet Sugar,negative
Ira     ,Cigar Sugar Sweet,negative
Ann     ,Cream Salo Onion,positive
Gina    ,Cheese Cigar Beer,positive
Emma    ,Salo Onion Bananas,negative
Hilary  ,Water Onion Salo,negative
Ira     ,Bananas Beer Abritos,negative
Dorophy ,Cream Bananas Milk,positive
Emma    ,Salo Eris Onion,negative
Ann     ,Onion Bread Abritos,negative
